8564967188470558698 False 2.0742416381835938e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5551477767929808840 False 1.5974044799804688e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5421616830662060476 False 1.5735626220703125e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6908032616835885561 False 1.6689300537109375e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1972951233157393072 False 1.6927719116210938e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1143505886825579560 False 1.621246337890625e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5652515782232104618 False 1.6450881958007812e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3948403300824949821 False 1.5974044799804688e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4538338372603313499 False 1.5974044799804688e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4870290555143700439 False 1.6689300537109375e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6403404203234070402 False 1.6927719116210938e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3517827118059498116 False 1.6450881958007812e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2079214943973144808 False 3.910064697265625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7743645243082261203 False 1.52587890625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
