8564967188470558698 False 3.814697265625e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5551477767929808840 False 5.507469177246094e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5421616830662060476 False 4.57763671875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6908032616835885561 False 5.316734313964844e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1972951233157393072 False 4.887580871582031e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1143505886825579560 False 4.506111145019531e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5652515782232104618 False 6.008148193359375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3948403300824949821 False 5.6743621826171875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4538338372603313499 False 5.602836608886719e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4870290555143700439 False 5.221366882324219e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6403404203234070402 False 5.340576171875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3517827118059498116 False 3.266334533691406e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2079214943973144808 False 5.555152893066406e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7743645243082261203 False 5.4836273193359375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2435009374250493162 False 5.340576171875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
9099437182353281228 False 5.2928924560546875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
83799907472220944 False 4.553794860839844e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6873582007149233008 False 5.745887756347656e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7610633921496930570 False 4.458427429199219e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5588183615586963168 False 5.0067901611328125e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7855537560943550897 False 5.14984130859375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8051499822904887601 False 5.435943603515625e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2156213307378759195 False 5.14984130859375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7479418989103504642 False 5.745887756347656e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5744064492428225707 False 5.698204040527344e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8544526651068165103 False 5.8650970458984375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5855473004572982806 False 5.3882598876953125e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3181961656605430130 False 5.125999450683594e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
953061700182019226 False 4.38690185546875e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2173856552885676806 False 5.173683166503906e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2962702814433030120 False 5.269050598144531e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6524110255155659318 False 5.650520324707031e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
30519554687105863 False 4.506111145019531e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2355553868484229527 False 5.173683166503906e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6077604882225540213 False 5.5789947509765625e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7798790512661693678 False 5.459785461425781e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1592228925134832886 False 5.4836273193359375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6648038616865707682 False 5.054473876953125e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7231655007509645201 False 5.125999450683594e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2180024381716878928 False 5.14984130859375e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1521759871710987427 False 5.078315734863281e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2070878517452617112 False 4.887580871582031e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5690090215034827230 False 5.364418029785156e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3753721492754923365 False 5.125999450683594e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8623761688203596080 False 5.3882598876953125e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3742097499808260378 False 5.459785461425781e-05 pcputimes(user=0.1, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
