8564967188470558698 False 6.9141387939453125e-06 pcputimes(user=0.08, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5551477767929808840 False 8.106231689453125e-06 pcputimes(user=0.08, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5421616830662060476 False 5.9604644775390625e-06 pcputimes(user=0.08, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6908032616835885561 False 8.106231689453125e-06 pcputimes(user=0.08, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1972951233157393072 False 8.821487426757812e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1143505886825579560 False 9.5367431640625e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5652515782232104618 False 8.344650268554688e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3948403300824949821 False 9.059906005859375e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4538338372603313499 False 8.58306884765625e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4870290555143700439 False 9.441375732421875e-05 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6403404203234070402 False 9.298324584960938e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3517827118059498116 False 8.344650268554688e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2079214943973144808 False 9.5367431640625e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7743645243082261203 False 9.775161743164062e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2435009374250493162 False 8.106231689453125e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
9099437182353281228 False 8.344650268554688e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
83799907472220944 False 8.821487426757812e-06 pcputimes(user=0.09, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6873582007149233008 False 8.58306884765625e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7610633921496930570 False 8.58306884765625e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5588183615586963168 False 8.58306884765625e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7855537560943550897 False 0.00016808509826660156 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8051499822904887601 False 1.0728836059570312e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2156213307378759195 False 8.821487426757812e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7479418989103504642 False 9.298324584960938e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5744064492428225707 False 8.58306884765625e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8544526651068165103 False 1.1682510375976562e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5855473004572982806 False 9.298324584960938e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3181961656605430130 False 8.821487426757812e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
953061700182019226 False 9.298324584960938e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2173856552885676806 False 9.775161743164062e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2962702814433030120 False 7.152557373046875e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6524110255155659318 False 8.58306884765625e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
30519554687105863 False 7.224082946777344e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2355553868484229527 False 7.62939453125e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6077604882225540213 False 1.0013580322265625e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7798790512661693678 False 9.5367431640625e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1592228925134832886 False 8.821487426757812e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6648038616865707682 False 9.775161743164062e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7231655007509645201 False 0.00019097328186035156 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2180024381716878928 False 7.3909759521484375e-06 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1521759871710987427 False 7.677078247070312e-05 pcputimes(user=0.09, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2070878517452617112 False 7.62939453125e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5690090215034827230 False 5.9604644775390625e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3753721492754923365 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8623761688203596080 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3742097499808260378 False 6.198883056640625e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1614307536711205429 False 1.1444091796875e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
678069211821284473 False 1.1205673217773438e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2604541551656770631 False 8.320808410644531e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
9215603342571305175 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8466517856233131700 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2204696902767359988 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2518362918416880218 False 8.106231689453125e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8008846911082411603 False 1.0013580322265625e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5900776865633869845 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4008593638045989427 False 9.5367431640625e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5530204594576965840 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2593837031905053001 False 1.049041748046875e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
