8564967188470558698 False 3.337860107421875e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5551477767929808840 False 3.0994415283203125e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5421616830662060476 False 2.384185791015625e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6908032616835885561 False 0.00015401840209960938 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1972951233157393072 False 2.86102294921875e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1143505886825579560 False 3.0994415283203125e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5652515782232104618 False 2.86102294921875e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3948403300824949821 False 0.00014281272888183594 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4538338372603313499 False 0.0001246929168701172 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4870290555143700439 False 0.00013947486877441406 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6403404203234070402 False 3.337860107421875e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3517827118059498116 False 3.0994415283203125e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2079214943973144808 False 3.814697265625e-06 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7743645243082261203 False 0.00013017654418945312 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
